,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
180,"great! you're well within the return time range. in order to process your return, may i have your full address?",product_defect,return_size,customer,"<street_address>  monterey, wa <zip_code>",street_address monterey wa zip_code,street_address monterey wa zip_code,106,great youre well within the return time range in order to process your return may i have your full address
181,"thank you. would you like to process your return via mail, in store, or at a drop off center?",product_defect,return_size,customer,in store please,in store please,in store please,251,thank you would you like to process your return via mail in store or at a drop off center
182,no problem. the store is ready to receive your return. is there anything else i can do for you?,product_defect,return_size,customer,thats everything thank you,thats everything thank you,thats everything thank you,426,no problem the store is ready to receive your return is there anything else i can do for you
183,you're welcome! have a nice day.,product_defect,return_size,customer,"hi! i am trying to login to my account to look at a past order. however, i forgot my password and can't get in.",hi i am trying to login to my account to look at a past order however i forgot my password and cant get in,hi i am trying to login to my account to look at a past order however i forgot my password and cant get in,419,youre welcome have a nice day
184,hello are you still there?,account_access,recover_password,customer,hello??,hello,hello,23,hello are you still there
185,"im so sorry, my internet was acting up.",account_access,recover_password,customer,is anyone there????,is anyone there,is anyone there,110,im so sorry my internet was acting up
186,could i get your full name to access your account please?,account_access,recover_password,customer,yes,yes,yes,183,could i get your full name to access your account please
187,i cannot access your password but i will go ahead and send you the link to reset your password,account_access,recover_password,customer,ok...,ok,ok,52,i cannot access your password but i will go ahead and send you the link to reset your password
188,i will need your pin number to initiate the reset please,account_access,recover_password,customer,chloe zhang,chloe zhang,chloe zhang,9,i will need your pin number to initiate the reset please
189,thanks. one sec please,account_access,recover_password,customer,great,great,great,31,thanks one sec please
190,youre welcome. is there anything else i could do for you today?,account_access,recover_password,customer,it is <pin_number>,it is pin_number,it is pin_number,173,youre welcome is there anything else i could do for you today
191,awesome. have a great night!,account_access,recover_password,customer,"ok, thank you.",ok thank you,ok thank you,339,awesome have a great night
192,thank you for contacting acmebrands! how can i help you today?,account_access,recover_password,customer,"no, that is all.",no that is all,no that is all,244,thank you for contacting acmebrands how can i help you today
193,"i'm sorry you having problems signing in to the website, but i'll be happy to help. could i have your name and account id please?",account_access,recover_password,customer,thanks,thanks,thanks,41,im sorry you having problems signing in to the website but ill be happy to help could i have your name and account id please
194,that's okay. i'm sure i can locate your account with you name. one moment please.,account_access,recover_password,customer,hi!  i'm trying to log in but can't remember my password.,hi im trying to log in but cant remember my password,hi im trying to log in but cant remember my password,70,thats okay im sure i can locate your account with you name one moment please
195,do you know your username?,account_access,recover_password,customer,my name is chloe zhang.  i don't have my account id but i can give you my address or phone number,my name is chloe zhang i dont have my account id but i can give you my address or phone number,my name is chloe zhang i dont have my account id but i can give you my address or phone number,398,do you know your username
